AbandonQuest 004dfe00
GetPlayerBuffTexture 004e4740
GetPlayerBuffTimeLeft 004e4930
GetPlayerMapPosition 004a8610
GetPlayerTradeMoney 004c0700
GetProgressText 00000060
GetPVPLastWeekStats 0051a6c0
GetPVPLifetimeStats 0051a7c0
GetPVPRankInfo 0051a930
GetPVPRankProgress 0051aa90
GetPVPSessionStats 0051a4b0
GetPVPThisWeekStats 0051a620
GetPVPYesterdayStats 0051a550
GetQuestBackgroundMaterial 00502230
GetQuestGreenRange 004e17d0
GetQuestIndexForTimer 004e15f0
GetQuestIndexForWatch 004e19b0
GetQuestItemInfo 00501f80
GetQuestItemLink 00502090
GetQuestLogChoiceInfo 004e0cf0
GetQuestLogItemLink 004e0ee0
GetQuestLogLeaderBoard 004e0110
GetQuestLogPushable 004e12b0
GetQuestLogQuestText 004dff20
GetQuestLogRequiredMoney 004e1220
GetQuestLogRewardInfo 004e0b00
GetQuestLogRewardMoney 004e1070
GetQuestLogRewardSpell 004e1130
GetQuestLogSelection 004dfb20
GetQuestLogTimeLeft 004e08a0
GetQuestLogTitle 004df930
GetQuestMoneyToGet 00501ea0
GetQuestReward 00501d80
GetQuestText 00000040
GetQuestTimers 004e13d0
GetRaidRosterInfo 004bb560
GetRaidRosterSelection 004bb890
GetRaidTargetIndex 004bb4b0
GetRealmName 0048df90
GetRealZoneText 0048a0c0
GetRefreshRates 0048c0d0
GetReleaseTimeRemaining 0048b5a0
GetRepairAllCost 004fbd60
GetResSicknessDuration 0051a3a0
GetRestState 0048d350
GetRewardMoney 00501dd0
GetRewardSpell 00501df0
GetRewardText 00000070
GetSavedInstanceInfo 004a1920
GetScreenHeight 0048b4d0
GetScreenResolutions 0048bc20
GetScreenWidth 0048b480
GetSelectedAuctionItem 004cfec0
GetSelectedBattlefield 004ab360
GetSelectedFaction 004d6c00
GetSelectedFriend 005ad260
GetSelectedIgnore 005ad570
GetSelectedSkill 004d4090
GetSelectedStablePet 004cb810
GetSelectedStationeryTexture 004ae3f0
GetSendMailCOD 004ae1c0
GetSendMailItem 004ae590
GetSendMailMoney 004ae150
GetSendMailPrice 004ae730
GetShapeshiftFormCooldown 004b49a0
GetShapeshiftFormInfo 004b45c0
GetSkillLineInfo 004d3610
GetSpellAutocast 004b4180
GetSpellCooldown 004b40a0
GetSpellName 004b3fe0
GetSpellTabInfo 004b3ce0
GetSpellTexture 004b3e50
GetStablePetFoodTypes 004cba70
GetStablePetInfo 004cb230
GetStationeryInfo 004ae230
GetSubZoneText 0048a0e0
GetSummonConfirmAreaName 0048b720
GetSummonConfirmSummoner 0048b6a0
GetSummonConfirmTimeLeft 0048b660
GetTabardCreationCost 004f5910
GetTabardInfo 004f5300
GetTalentInfo 004f3200
GetTalentPrereqs 004f34d0
GetTalentTabInfo 004f3040
GetTargetTradeMoney 004c0750
GetTerrainMip 00488fb0
GetTexLodBias 00489110
GetTime 00515ea0
GetTimeToWellRested 0048d4b0
GetTitleText 00000020
GetTrackingTexture 004e4a20
GetTradePlayerItemInfo 004c0450
GetTradePlayerItemLink 004c0650
GetTradeSkillCooldown 004fda20
GetTradeSkillIcon 004fdae0
GetTradeSkillInfo 004fd820
GetTradeSkillInvSlotFilter 004fffd0
GetTradeSkillInvSlots 004ffc20
GetTradeSkillItemLink 004ff410
GetTradeSkillItemStats 004fdec0
GetTradeSkillLine 004fdd40
GetTradeSkillNumMade 004fdc50
GetTradeSkillNumReagents 004ff510
GetTradeSkillReagentInfo 004ff5c0
GetTradeSkillReagentItemLink 004ff800
GetTradeskillRepeatCount 00500230
GetTradeSkillSelectionIndex 004fd9f0
GetTradeSkillSubClasses 004ffb60
GetTradeSkillSubClassFilter 004ffd90
GetTradeSkillTools 004ff980
GetTradeTargetItemInfo 004c00f0
GetTradeTargetItemLink 004c0360
GetTrainerGreetingText 004d8f40
GetTrainerSelectionIndex 004d8f10
GetTrainerServiceAbilityReq 004d96e0
GetTrainerServiceCost 004d92f0
GetTrainerServiceDescription 004d9b40
GetTrainerServiceIcon 004d8f50
GetTrainerServiceInfo 004d8dc0
GetTrainerServiceLevelReq 004d93a0
GetTrainerServiceNumAbilityReq 004d9600
GetTrainerServiceSkillLine 004d9160
GetTrainerServiceSkillReq 004d9410
GetTrainerServiceStepIncrease 004da030
GetTrainerServiceStepReq 004d9930
GetTrainerServiceTypeFilter 004da510
GetTrainerSkillLineFilter 004da590
GetTrainerSkillLines 004da660
GetVideoCaps 0048db40
GetWatchedFactionInfo 004d6820
GetWaterDetail 00488ec0
GetWeaponEnchantInfo 004c9790
GetWhoInfo 005ad6e0
GetWorldDetail 00488d70
GetWorldLocMapPosition 004a88f0
GetWorldStateUIInfo 004c5a70
GetXPExhaustion 0048d3f0
GetZonePVPInfo 0048d540
GetZoneText 0048a0a0
GiveMasterLoot 004c2fd0
GMRequestPlayerInfo 0048d4c0
GMSurveyAnswerSubmit 0048cd30
GMSurveyCommentSubmit 0048cef0
GMSurveyQuestion 0048cc00
GMSurveySubmit 0048cf80
GuildControlAddRank 004d2210
GuildControlDelRank 004d22e0
GuildControlGetNumRanks 004d1e60
GuildControlGetRankFlags 004d1fe0
GuildControlGetRankName 004d1e90
GuildControlSaveRank 004d20d0
GuildControlSetRank 004d1fa0
GuildControlSetRankFlag 004d2070
GuildDemoteByName 0048b0f0
GuildDisband 0048b3a0
GuildInfo 0048b410
GuildInviteByName 0048aef0
GuildLeave 0048b330
GuildPromoteByName 0048b050
GuildRoster 004d2360
GuildRosterSetOfficerNote 004d1700
GuildRosterSetPublicNote 004d15e0
GuildSetLeaderByName 0048b190
GuildSetMOTD 0048b270
GuildUninviteByName 0048afb0
HasAction 004e70d0
HasFullControl 0051a120
HasInspectHonorData 004c95e0
HasKey 0048ae90
HasNewMail 004afea0
HasPetSpells 004b4410
HasPetUI 004be670
HasSoulstone 0048ac80
HasWandEquipped 004c99a0
HideFriendNameplates 00489480
HideNameplates 00489460
HideRepairCursor 004fbd00
InboxItemCanDelete 004afe00
InCinematic 0048c930
InitiateTrade 0048a120
InRepairMode 004fbd30
InviteByName 0048a420
InviteToParty 0048a3b0
IsActionInRange 004e7550
IsAddOnLoaded 0048e8e0
IsAddOnLoadOnDemand 0048e840
IsAltKeyDown 00488600
IsAttackAction 004e7280
IsAuctionSortReversed 004d0030
IsAutoRepeatAction 004e7360
IsConsumableAction 004e7470
IsControlKeyDown 004885c0
IsCurrentAction 004e72f0
IsCurrentCast 004b4370
IsCurrentQuestFailed 004e0960
IsEquippedAction 004e74e0
IsFactionInactive 004d6af0
IsFishingLoot 004c2ee0
IsGuildLeader 00516e40
IsInGuild 00516de0
IsInInstance 0048a750
IsInMeetingStoneQueue 004ca570
IsInventoryItemLocked 004c8e60
IsLinuxClient 0048c990
IsMacClient 0048c980
IsMouselooking 00514270
IsPartyLeader 004e9130
IsPetAttackActive 004be0e0
IsQuestCompletable 00501d40
IsQuestWatched 004e1890
IsRaidLeader 004bb8c0
IsRaidOfficer 004bb910
IsResting 00516ea0
IsShiftKeyDown 00488590
IsSpellPassive 004b44e0
IsTalentTrainer 004d8ed0
IsTradeskillTrainer 004d8ea0
IsTrainerServiceLearnSpell 004d9e70
IsTrainerServiceSkillStep 004d9dd0
IsTrainerServiceTradeSkill 004d9f70
IsUnitOnQuest 004dfe10
IsUsableAction 004e73d0
IsVendorActive 004c43d0
IsWindowsClient 0048c960
ItemTextGetCreator 004e3940
ItemTextGetItem 004e38f0
ItemTextGetMaterial 004e39f0
ItemTextGetPage 004e3ad0
ItemTextGetText 004e3b00
ItemTextHasNextPage 004e3b10
ItemTextNextPage 004e3b60
ItemTextPrevPage 004e3b50
JoinBattlefield 004ab290
JoinChannelByName 0049ff00
Jump 00513bd0
KeyRingButtonIDToInvSlotID 004c8150
LearnTalent 004f36a0
LeaveBattlefield 004abe60
LeaveChannelByName 004a0000
LeaveParty 004e9180
LFGQuery 004e9760
ListChannelByName 004a00d0
ListChannels 004a01c0
LoadAddOn 0048e980
LoadBindings 004b8220
LoggingChat 0049fe40
LoggingCombat 0049fef0
Logout 00489390
LootSlot 004c2e70
LootSlotIsCoin 004c2e00
LootSlotIsItem 004c2d90
MakeMinigameMove 004c4d80
MouselookStart 00514210
MouselookStop 00514240
MoveBackwardStart 00513e80
MoveBackwardStop 00513eb0
MoveForwardStart 00513e20
MoveForwardStop 00513e50
MoveViewDownStart 0050b580
MoveViewDownStop 0050b590
MoveViewInStart 0050b4a0
MoveViewInStop 0050b4d0
MoveViewLeftStart 0050b540
MoveViewLeftStop 0050b550
MoveViewOutStart 0050b500
MoveViewOutStop 0050b510
MoveViewRightStart 0050b520
MoveViewRightStop 0050b530
MoveViewUpStart 0050b560
MoveViewUpStop 0050b570
NewGMTicket 0048c9d0
NextView 0050b680
NoPlayTime 0048ebe0
NotifyInspect 0048a310
NotWhileDeadError 0048d340
NumTaxiNodes 004dcb00
OfferPetition 004f4790
OffhandHasWeapon 004c9570
OpeningCinematic 0048c8c0
OpenTrainer 004d8cf0
PartialPlayTime 0048eb70
PetAbandon 004be4c0
PetAggressiveMode 004be470
PetAttack 004be4a0
PetCanBeAbandoned 004be500
PetCanBeRenamed 004be580
PetDefensiveMode 004be460
PetDismiss 004be4d0
PetFollow 004be490
PetHasActionBar 004bdc20
PetPassiveMode 004be450
PetRename 004be4e0
PetStopAttack 004be4b0
PetWait 004be480
PickupAction 004e71d0
PickupBagFromSlot 004c8fa0
PickupContainerItem 004f9b30
PickupInventoryItem 004c8da0
PickupMacro 000000e0
PickupMerchantItem 004fb760
PickupPetAction 004be180
PickupPlayerMoney 0048abc0
PickupSpell 004b42a0
PickupStablePet 004cb7a0
PickupTradeMoney 004c0790
PitchDownStart 005140c0
PitchDownStop 005140f0
PitchUpStart 00514060
PitchUpStop 00514090
PlaceAction 004e7240
PlaceAuctionBid 004cf610
PlayerHasSpells 004b43f0
PlayMusic 00458720
PlaySound 004586d0
PlaySoundFile 00458780
PositionMiniWorldMapArrowFrame 004a8f20
PositionWorldMapArrowFrame 004a8d20
PrevView 0050b690
ProcessMapClick 004a7f30
PromoteByName 0048a830
PromoteToAssistant 004bbd20
PromoteToPartyLeader 0048a7c0
PurchaseSlot 004f86b0
PutItemInBackpack 004c8f70
PutItemInBag 004c8f00
QueryAuctionItems 004ce980
QuestChooseRewardError 005021a0
QuestLogPushQuest 004e1340
Quit 004893b0
RandomRoll 0048c7b0
ReadFile 00515f50
RegisterCVar 00488b00
RegisterForSave 004884e0
ReloadUI 004884d0
RemoveChatWindowChannel 004a1260
RemoveChatWindowMessages 004a0f40
RemoveFriend 005ad2d0
RemoveQuestWatch 004e1970
RemoveSkillUp 004d3c70
RenamePetition 004f4930
RepairAllItems 004fbfe0
ReplaceEnchant 0048d300
ReplaceTradeEnchant 0048d330
RepopMe 0048a970
RequestBattlefieldPositions 004abef0
RequestBattlefieldScoreData 004ab990
RequestInspectHonorData 004c9610
RequestRaidInfo 004a1850
RequestTimePlayed 0048a900
ResetChatColors 004a09e0
ResetCursor 0048ac70
ResetDisabledAddOns 0048e830
ResetInstances 0048a6b0
ResetPerformanceValues 00489430
ResetTutorials 004b5a10
ResetView 0050b640
RestartGx 0048dab0
RestoreVideoDefaults 0048dad0
ResurrectHasSickness 0048aa00
ResurrectHasTimer 0048aa30
RetrieveCorpse 0048d260
ReturnInboxItem 004afba0
RollOnLoot 004c3370
RunBinding 004b8180
RunScript 0048b980
SaveBindings 004b8260
SaveView 0050b600
Screenshot 004893d0
SelectActiveQuest 00501ce0
SelectAvailableQuest 00501ca0
SelectCraft 004f70f0
SelectGossipActiveQuest 004e2ae0
SelectGossipAvailableQuest 004e2aa0
SelectGossipOption 004e2a30
SelectPackage 004ae550
SelectQuestLogEntry 004dfae0
SelectStationery 004ae380
SelectTradeSkill 004fd9b0
SelectTrainerService 004d8e60
SendAddonMessage 0049f920
SendChatMessage 0049f1e0
SendMail 004ae800
SendWho 005ad3b0
SetAbandonQuest 004dfb50
SetActionBarToggles 004e76e0
SetBagPortaitTexture 004fa4f0
SetBaseMip 004892b0
SetBattlefieldScoreFaction 004abc90
SetBinding 004b8000
SetChannelOwner 004a0490
SetChannelPassword 004a03a0
SetChatWindowAlpha 004a15d0
SetChatWindowColor 004a14f0
SetChatWindowDocked 004a16b0
SetChatWindowLocked 004a1650
SetChatWindowName 004a13f0
SetChatWindowShown 004a1730
SetChatWindowSize 004a1470
SetConsoleKey 00488640
SetCursor 00489490
SetCVar 00488c10
SetDoodadAnim 00489090
SetEuropeanNumbers 0048dec0
SetFactionActive 004d6a00
SetFactionInactive 004d69b0
SetFarclip 00488f30
SetGamma 004891f0
SetGuildInfoText 004d2380
SetGuildRecruitmentMode 004a0060
SetGuildRosterSelection 004d1820
SetGuildRosterShowOffline 004d1e10
SetInventoryPortaitTexture 004c9150
SetLayoutMode 00488540
SetLookingForGroup 004e96b0
SetLootMethod 004e92a0
SetLootPortrait 004c2b40
SetLootThreshold 004e9500
SetMapToCurrentZone 004a7e20
SetMapZoom 004a7db0
SetMultisampleFormat 0048c640
SetPetStablePaperdoll 004cb870
SetPortraitTexture 00519ef0
SetPortraitToTexture 0048d780
SetRaidRosterSelection 004bb820
SetRaidSubgroup 004bb990
SetRaidTarget 004bbec0
SetScreenResolution 0048bfd0
SetSelectedAuctionItem 004cfda0
SetSelectedBattlefield 004ab300
SetSelectedFaction 004d6bb0
SetSelectedFriend 005ad210
SetSelectedIgnore 005ad520
SetSelectedSkill 004d4020
SetSendMailCOD 004ae180
SetSendMailMoney 004ae0f0
SetTaxiMap 004dca50
SetTerrainMip 00488fe0
SetTexLodBias 00489140
SetTradeMoney 004c0820
SetTradeSkillInvSlotFilter 004ffe60
SetTradeSkillSubClassFilter 004ffc70
SetTrainerServiceTypeFilter 004da260
SetTrainerSkillLineFilter 004da3f0
SetupFullscreenScale 0048c270
SetView 0050b5b0
SetWatchedFactionIndex 004d6b60
SetWaterDetail 00488ed0
SetWhoToUI 005ad870
